SQUADRA,BAUDI
"('Achille_Lauro', 'Aka_7even', 'Ana_Mena', 'Iva_Zanicchi', 'Matteo_Romano')",100
"('Achille_Lauro', 'Aka_7even', 'Ana_Mena', 'Iva_Zanicchi', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Ana_Mena', 'Matteo_Romano', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Ditonellapiaga_con_Donatella_Rettore', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Giovanni_Truppi', 'Iva_Zanicchi')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Giovanni_Truppi', 'Matteo_Romano')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Giovanni_Truppi', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Iva_Zanicchi')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Matteo_Romano')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Highsnob_e_Hu', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Iva_Zanicchi', 'Matteo_Romano')",98
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Iva_Zanicchi', 'Rkomi')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Iva_Zanicchi', 'Tananai')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Iva_Zanicchi', 'Yuman')",98
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Matteo_Romano', 'Rkomi')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Matteo_Romano', 'Tananai')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Matteo_Romano', 'Yuman')",98
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Rkomi', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Dargen_DAmico', 'Tananai', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Iva_Zanicchi')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Matteo_Romano')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Giovanni_Truppi', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Iva_Zanicchi')",99
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Matteo_Romano')",99
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Yuman')",99
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Matteo_Romano')",98
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Rkomi')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Tananai')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Yuman')",98
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Rkomi')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Tananai')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Yuman')",98
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Rkomi', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Ditonellapiaga_con_Donatella_Rettore', 'Tananai', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Iva_Zanicchi')",100
"('Achille_Lauro', 'Aka_7even', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Matteo_Romano')",100
"('Achille_Lauro', 'Aka_7even', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Yuman')",100
"('Achille_Lauro', 'Aka_7even', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Matteo_Romano')",99
